frame.len,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.flags.ack,tcp.flags.push,tcp.flags.syn,src,dst,label
74,6,51960,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,51960,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,52236,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,52196,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,53210,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,52196,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,35288,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,35924,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,35924,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,45800,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,55296,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
347,17,0,0,0,0,0,0,192.168.68.10,192.168.68.20,1
60,6,53503,80,2,0,0,1,192.168.68.10,192.168.68.20,1
363,17,0,0,0,0,0,0,192.168.68.10,192.168.68.20,1
60,6,15523,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,61301,443,2,0,0,1,192.168.68.10,192.168.68.20,1
212,17,0,0,0,0,0,0,192.168.68.10,192.168.68.20,1
74,6,45804,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,46319,8080,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,28678,443,2,0,0,1,192.168.68.10,192.168.68.20,1
394,17,0,0,0,0,0,0,192.168.68.10,192.168.68.20,1
203,17,0,0,0,0,0,0,192.168.68.10,192.168.68.20,1
60,6,9010,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,28883,8080,2,0,0,1,192.168.68.10,192.168.68.20,1
516,17,0,0,0,0,0,0,192.168.68.10,192.168.68.20,1
60,6,61880,443,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,59968,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,59968,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,35080,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,35080,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,53958,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,53958,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,43072,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,43072,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,43072,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,43072,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,43088,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,43088,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,35080,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
142,6,59968,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,59968,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
142,6,53958,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
74,6,59984,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,46240,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,59984,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,46240,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,46240,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,46240,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,46254,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,46254,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,59984,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,35080,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,35090,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,35090,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,43180,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,46254,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,46254,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,46270,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,43180,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,46270,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,53958,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,53970,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,53970,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,43180,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
142,6,43088,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
142,6,46270,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,43180,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,53486,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,53486,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,53970,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,53970,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
60,6,46270,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,46280,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,46280,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,43088,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,43090,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,43090,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,46980,80,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,35090,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,35090,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,35102,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,35102,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,43090,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,43090,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,43098,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,43098,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,53486,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
142,6,35102,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,35102,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,35104,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,35104,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,35104,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,35104,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,35110,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,35110,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,35110,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,35110,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
142,6,46280,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,46280,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,46292,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,46292,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,53984,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,53984,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,43194,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,43194,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
206,17,0,0,0,0,0,0,192.168.68.10,192.168.68.20,1
60,6,59984,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,59992,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,59992,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,41131,443,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,50578,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,50578,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,53486,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
142,6,50578,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,22364,80,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,50492,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,43098,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,43098,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,43106,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,50492,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,43106,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
397,17,0,0,0,0,0,0,192.168.68.10,192.168.68.20,1
74,6,43614,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,43614,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,37538,80,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,43614,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,43614,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,43626,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,43626,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,43106,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,43106,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
142,6,43626,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
142,6,50492,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,50492,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
60,6,43626,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
60,6,43626,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
60,6,50578,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,50580,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,50580,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,53984,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
74,6,53488,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,53488,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,46292,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,53984,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,53986,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,53986,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,38538,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,53488,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,38538,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,35118,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,53488,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
142,6,38538,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,38538,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,38552,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,35118,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,38552,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,53986,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,53986,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,53988,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,53988,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
